File,Line,Pattern,Match,Context
DialogConsumePotionOfRejuvenation.java,53,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerChangeTraitBindingInflate.containerAdventurer.setBackgroundResource(R.drawable.object_border_ascended);
DialogConsumePotionOfRejuvenation.java,54,R_drawable_variable,R.drawable.object_border_rounded_left_ascended,layoutAdventurerChangeTraitBindingInflate.image.setBackgroundResource(R.drawable.object_border_rounded_left_ascended);
DialogConsumePotionOfRejuvenation.java,57,getDrawable,getDrawable(getResources(),"layoutAdventurerChangeTraitBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getImageId(), getContext().get"
DialogConsumePotionOfRejuvenation.java,64,getDrawable,getDrawable(getResources(),"layoutAdventurerChangeTraitBindingInflate.doctrine.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getDoctrine().getIdImage(),"
DialogCraft.java,72,getDrawable,getDrawable(getResources(),"layoutCraftBigBinding.result.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getResult().getIdImage(), getContext().getThem"
DialogCraft.java,74,getDrawable,getDrawable(getResources(),"layoutCraftBigBinding.ingredient1.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getIngredients().get(0).getIdImage(), get"
DialogCraft.java,80,getDrawable,getDrawable(getResources(),"layoutCraftBigBinding.ingredient2.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getIngredients().get(1).getIdImage(), get"
DialogCraft.java,90,getDrawable,getDrawable(getResources(),"layoutCraftBigBinding.ingredient3.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getIngredients().get(2).getIdImage(), get"
DialogDoctrine.java,99,getDrawable,getDrawable(getResources(),"layoutDoctrineAbilityBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), doctrineAbility.getType().image, getContext().g"
DialogDungeonDetail.java,65,getDrawable,getDrawable(getResources(),"this.binding.imageView.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.area.getDetailDrawable(), getContext().getTheme()));"
DialogDungeonDetail.java,173,getDrawable,getDrawable(getResources(),"this.binding.pet.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.area.getPetExploring().getIdImage(), getContext().getTheme()));"
DialogDungeonDetail.java,200,getDrawable,getDrawable(getResources(),"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_0, getContext().getTheme()));"
DialogDungeonDetail.java,200,R_drawable_variable,R.drawable.darkness_0,"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_0, getContext().getTheme()));"
DialogDungeonDetail.java,202,getDrawable,getDrawable(getResources(),"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_1, getContext().getTheme()));"
DialogDungeonDetail.java,202,R_drawable_variable,R.drawable.darkness_1,"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_1, getContext().getTheme()));"
DialogDungeonDetail.java,204,getDrawable,getDrawable(getResources(),"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_2, getContext().getTheme()));"
DialogDungeonDetail.java,204,R_drawable_variable,R.drawable.darkness_2,"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_2, getContext().getTheme()));"
DialogDungeonDetail.java,206,getDrawable,getDrawable(getResources(),"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_3, getContext().getTheme()));"
DialogDungeonDetail.java,206,R_drawable_variable,R.drawable.darkness_3,"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_3, getContext().getTheme()));"
DialogDungeonDetail.java,208,getDrawable,getDrawable(getResources(),"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_4, getContext().getTheme()));"
DialogDungeonDetail.java,208,R_drawable_variable,R.drawable.darkness_4,"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_4, getContext().getTheme()));"
DialogDungeonDetail.java,210,getDrawable,getDrawable(getResources(),"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_5, getContext().getTheme()));"
DialogDungeonDetail.java,210,R_drawable_variable,R.drawable.darkness_5,"this.binding.moon.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.darkness_5, getContext().getTheme()));"
DialogDungeonDetail.java,230,getDrawable,getDrawable(getResources(),"layoutEntityFightingBinding.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), entity.getCurrentHp() > 0 ? entity.getImageId() : R.dra"
DialogDungeonDetail.java,230,R_drawable_variable,R.drawable.tombstone,"layoutEntityFightingBinding.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), entity.getCurrentHp() > 0 ? entity.getImageId() : R.dra"
DialogDungeonDetail.java,245,getDrawable,getDrawable(getResources(),"getStatusSlot(layoutEntityFightingBinding, i).setImageDrawable(ResourcesCompat.getDrawable(getResources(), statusEffect.getType().icon, getContext().g"
DialogDungeonDetail.java,252,getDrawable,getDrawable(getResources(),"getStatusSlot(layoutEntityFightingBinding, i).setImageDrawable(ResourcesCompat.getDrawable(getResources(), statusEffect2.getType().icon, getContext()."
DialogDungeonDetail.java,259,setImageResource,setImageResource(0),"getStatusSlot(layoutEntityFightingBinding, i).setImageResource(0);"
DialogDungeonDetail.java,290,setImageResource,setImageResource(R.drawable.animated_icon_damaged),view.animation.setImageResource(R.drawable.animated_icon_damaged);
DialogDungeonDetail.java,290,R_drawable_variable,R.drawable.animated_icon_damaged,view.animation.setImageResource(R.drawable.animated_icon_damaged);
DialogEntityDetail.java,76,R_drawable_variable,R.drawable.object_border_ascended,this.binding.detailImage.setBackgroundResource(R.drawable.object_border_ascended);
DialogEntityDetail.java,77,R_drawable_variable,R.drawable.object_border_ascended,this.binding.detailWeapon.setBackgroundResource(R.drawable.object_border_ascended);
DialogEntityDetail.java,78,R_drawable_variable,R.drawable.object_border_ascended,this.binding.detailArmor.setBackgroundResource(R.drawable.object_border_ascended);
DialogEntityDetail.java,79,R_drawable_variable,R.drawable.object_border_ascended,this.binding.detailAccessory.setBackgroundResource(R.drawable.object_border_ascended);
